number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: LDL
unsuccessful step! iteration = 551 , error before = 24515.558137 , error next = 24593.553242 , error change = -77.995105 , lambda = 2.000000 , time consumption = 0.465798s

successful step! iteration = 552 , error before = 24515.558137 , error next = 24454.333903 , error change = 61.224234 , lambda = 0.200000 , time consumption = 0.471770s

unsuccessful step! iteration = 553 , error before = 24454.333903 , error next = 24531.476238 , error change = -77.142334 , lambda = 2.000000 , time consumption = 0.462958s

successful step! iteration = 554 , error before = 24454.333903 , error next = 24393.779558 , error change = 60.554345 , lambda = 0.200000 , time consumption = 0.463111s

unsuccessful step! iteration = 555 , error before = 24393.779558 , error next = 24470.078006 , error change = -76.298448 , lambda = 2.000000 , time consumption = 0.466963s

successful step! iteration = 556 , error before = 24393.779558 , error next = 24333.888115 , error change = 59.891443 , lambda = 0.200000 , time consumption = 0.465386s

unsuccessful step! iteration = 557 , error before = 24333.888115 , error next = 24409.351474 , error change = -75.463359 , lambda = 2.000000 , time consumption = 0.463945s

successful step! iteration = 558 , error before = 24333.888115 , error next = 24274.652656 , error change = 59.235459 , lambda = 0.200000 , time consumption = 0.482480s

unsuccessful step! iteration = 559 , error before = 24274.652656 , error next = 24349.289640 , error change = -74.636984 , lambda = 2.000000 , time consumption = 0.462118s

successful step! iteration = 560 , error before = 24274.652656 , error next = 24216.066327 , error change = 58.586328 , lambda = 0.200000 , time consumption = 0.463735s

unsuccessful step! iteration = 561 , error before = 24216.066327 , error next = 24289.885566 , error change = -73.819238 , lambda = 2.000000 , time consumption = 0.466371s

successful step! iteration = 562 , error before = 24216.066327 , error next = 24158.122344 , error change = 57.943983 , lambda = 0.200000 , time consumption = 0.474466s

unsuccessful step! iteration = 563 , error before = 24158.122344 , error next = 24231.132383 , error change = -73.010039 , lambda = 2.000000 , time consumption = 0.464212s

successful step! iteration = 564 , error before = 24158.122344 , error next = 24100.813986 , error change = 57.308358 , lambda = 0.200000 , time consumption = 0.464551s

unsuccessful step! iteration = 565 , error before = 24100.813986 , error next = 24173.023288 , error change = -72.209302 , lambda = 2.000000 , time consumption = 0.462147s

successful step! iteration = 566 , error before = 24100.813986 , error next = 24044.134597 , error change = 56.679389 , lambda = 0.200000 , time consumption = 0.464488s

unsuccessful step! iteration = 567 , error before = 24044.134597 , error next = 24115.551544 , error change = -71.416948 , lambda = 2.000000 , time consumption = 0.452094s

successful step! iteration = 568 , error before = 24044.134597 , error next = 23988.077587 , error change = 56.057010 , lambda = 0.200000 , time consumption = 0.452831s

unsuccessful step! iteration = 569 , error before = 23988.077587 , error next = 24058.710480 , error change = -70.632893 , lambda = 2.000000 , time consumption = 0.453857s

successful step! iteration = 570 , error before = 23988.077587 , error next = 23932.636429 , error change = 55.441158 , lambda = 0.200000 , time consumption = 0.453484s

unsuccessful step! iteration = 571 , error before = 23932.636429 , error next = 24002.493487 , error change = -69.857058 , lambda = 2.000000 , time consumption = 0.453502s

successful step! iteration = 572 , error before = 23932.636429 , error next = 23877.804660 , error change = 54.831769 , lambda = 0.200000 , time consumption = 0.454090s

unsuccessful step! iteration = 573 , error before = 23877.804660 , error next = 23946.894022 , error change = -69.089362 , lambda = 2.000000 , time consumption = 0.456946s

successful step! iteration = 574 , error before = 23877.804660 , error next = 23823.575879 , error change = 54.228780 , lambda = 0.200000 , time consumption = 0.458305s

unsuccessful step! iteration = 575 , error before = 23823.575879 , error next = 23891.905607 , error change = -68.329727 , lambda = 2.000000 , time consumption = 0.464253s

successful step! iteration = 576 , error before = 23823.575879 , error next = 23769.943750 , error change = 53.632130 , lambda = 0.200000 , time consumption = 0.460180s

unsuccessful step! iteration = 577 , error before = 23769.943750 , error next = 23837.521824 , error change = -67.578074 , lambda = 2.000000 , time consumption = 0.456917s

successful step! iteration = 578 , error before = 23769.943750 , error next = 23716.901995 , error change = 53.041755 , lambda = 0.200000 , time consumption = 0.469831s

unsuccessful step! iteration = 579 , error before = 23716.901995 , error next = 23783.736320 , error change = -66.834325 , lambda = 2.000000 , time consumption = 0.473923s

successful step! iteration = 580 , error before = 23716.901995 , error next = 23664.444400 , error change = 52.457595 , lambda = 0.200000 , time consumption = 0.506298s

unsuccessful step! iteration = 581 , error before = 23664.444400 , error next = 23730.542804 , error change = -66.098403 , lambda = 2.000000 , time consumption = 0.471359s

successful step! iteration = 582 , error before = 23664.444400 , error next = 23612.564812 , error change = 51.879588 , lambda = 0.200000 , time consumption = 0.471591s

unsuccessful step! iteration = 583 , error before = 23612.564812 , error next = 23677.935044 , error change = -65.370231 , lambda = 2.000000 , time consumption = 0.475875s

successful step! iteration = 584 , error before = 23612.564812 , error next = 23561.257137 , error change = 51.307675 , lambda = 0.200000 , time consumption = 0.470410s

unsuccessful step! iteration = 585 , error before = 23561.257137 , error next = 23625.906871 , error change = -64.649734 , lambda = 2.000000 , time consumption = 0.477305s

successful step! iteration = 586 , error before = 23561.257137 , error next = 23510.515340 , error change = 50.741796 , lambda = 0.200000 , time consumption = 0.473573s

unsuccessful step! iteration = 587 , error before = 23510.515340 , error next = 23574.452176 , error change = -63.936835 , lambda = 2.000000 , time consumption = 0.478189s

successful step! iteration = 588 , error before = 23510.515340 , error next = 23460.333449 , error change = 50.181892 , lambda = 0.200000 , time consumption = 0.476373s

unsuccessful step! iteration = 589 , error before = 23460.333449 , error next = 23523.564910 , error change = -63.231462 , lambda = 2.000000 , time consumption = 0.465881s

successful step! iteration = 590 , error before = 23460.333449 , error next = 23410.705545 , error change = 49.627903 , lambda = 0.200000 , time consumption = 0.476856s

unsuccessful step! iteration = 591 , error before = 23410.705545 , error next = 23473.239084 , error change = -62.533538 , lambda = 2.000000 , time consumption = 0.466153s

successful step! iteration = 592 , error before = 23410.705545 , error next = 23361.625774 , error change = 49.079772 , lambda = 0.200000 , time consumption = 0.465559s

unsuccessful step! iteration = 593 , error before = 23361.625774 , error next = 23423.468766 , error change = -61.842992 , lambda = 2.000000 , time consumption = 0.474376s

successful step! iteration = 594 , error before = 23361.625774 , error next = 23313.088333 , error change = 48.537440 , lambda = 0.200000 , time consumption = 0.473160s

unsuccessful step! iteration = 595 , error before = 23313.088333 , error next = 23374.248084 , error change = -61.159751 , lambda = 2.000000 , time consumption = 0.466870s

successful step! iteration = 596 , error before = 23313.088333 , error next = 23265.087482 , error change = 48.000852 , lambda = 0.200000 , time consumption = 0.468783s

unsuccessful step! iteration = 597 , error before = 23265.087482 , error next = 23325.571224 , error change = -60.483742 , lambda = 2.000000 , time consumption = 0.472100s

successful step! iteration = 598 , error before = 23265.087482 , error next = 23217.617533 , error change = 47.469948 , lambda = 0.200000 , time consumption = 0.471428s

unsuccessful step! iteration = 599 , error before = 23217.617533 , error next = 23277.432428 , error change = -59.814894 , lambda = 2.000000 , time consumption = 0.469028s

successful step! iteration = 600 , error before = 23217.617533 , error next = 23170.672858 , error change = 46.944675 , lambda = 0.200000 , time consumption = 0.485545s

unsuccessful step! iteration = 601 , error before = 23170.672858 , error next = 23229.825995 , error change = -59.153137 , lambda = 2.000000 , time consumption = 0.473427s

successful step! iteration = 602 , error before = 23170.672858 , error next = 23124.247883 , error change = 46.424975 , lambda = 0.200000 , time consumption = 0.468582s

unsuccessful step! iteration = 603 , error before = 23124.247883 , error next = 23182.746283 , error change = -58.498400 , lambda = 2.000000 , time consumption = 0.465400s

successful step! iteration = 604 , error before = 23124.247883 , error next = 23078.337089 , error change = 45.910794 , lambda = 0.200000 , time consumption = 0.465735s

unsuccessful step! iteration = 605 , error before = 23078.337089 , error next = 23136.187702 , error change = -57.850613 , lambda = 2.000000 , time consumption = 0.464082s

successful step! iteration = 606 , error before = 23078.337089 , error next = 23032.935012 , error change = 45.402077 , lambda = 0.200000 , time consumption = 0.463966s

unsuccessful step! iteration = 607 , error before = 23032.935012 , error next = 23090.144720 , error change = -57.209708 , lambda = 2.000000 , time consumption = 0.469703s

successful step! iteration = 608 , error before = 23032.935012 , error next = 22988.036242 , error change = 44.898769 , lambda = 0.200000 , time consumption = 0.466920s

unsuccessful step! iteration = 609 , error before = 22988.036242 , error next = 23044.611859 , error change = -56.575617 , lambda = 2.000000 , time consumption = 0.471443s

successful step! iteration = 610 , error before = 22988.036242 , error next = 22943.635425 , error change = 44.400817 , lambda = 0.200000 , time consumption = 0.472196s

unsuccessful step! iteration = 611 , error before = 22943.635425 , error next = 22999.583695 , error change = -55.948270 , lambda = 2.000000 , time consumption = 0.461883s

successful step! iteration = 612 , error before = 22943.635425 , error next = 22899.727257 , error change = 43.908168 , lambda = 0.200000 , time consumption = 0.461419s

unsuccessful step! iteration = 613 , error before = 22899.727257 , error next = 22955.054860 , error change = -55.327603 , lambda = 2.000000 , time consumption = 0.464881s
